NACA 2412
   0.2039504     -0.4228612E-01
   0.2129741     -0.4231319E-01
   0.2221493     -0.4230384E-01
   0.2314733     -0.4225921E-01
   0.2409423     -0.4218049E-01
   0.2505537     -0.4206888E-01
   0.2603036     -0.4192565E-01
   0.2701891     -0.4175214E-01
   0.2802064     -0.4154966E-01
   0.2903525     -0.4131959E-01
   0.3006234     -0.4106338E-01
   0.3110163     -0.4078243E-01
   0.3215269     -0.4047826E-01
   0.3321521     -0.4015232E-01
   0.3428878     -0.3980616E-01
   0.3537309     -0.3944131E-01
   0.3646770     -0.3905932E-01
   0.3757227     -0.3866174E-01
   0.3868639     -0.3825017E-01
   0.3980968     -0.3782614E-01
   0.4094173     -0.3738508E-01
   0.4208214     -0.3691691E-01
   0.4323050     -0.3642256E-01
   0.4438639     -0.3590322E-01
   0.4554937     -0.3536007E-01
   0.4671903     -0.3479430E-01
   0.4789492     -0.3420711E-01
   0.4907658     -0.3359969E-01
   0.5026356     -0.3297324E-01
   0.5145540     -0.3232893E-01
   0.5265161     -0.3166793E-01
   0.5385172     -0.3099137E-01
   0.5505522     -0.3030043E-01
   0.5626163     -0.2959622E-01
   0.5747042     -0.2887979E-01
   0.5868104     -0.2815228E-01
   0.5989298     -0.2741471E-01
   0.6110568     -0.2666811E-01
   0.6231858     -0.2591348E-01
   0.6353107     -0.2515180E-01
   0.6474258     -0.2438400E-01
   0.6595249     -0.2361101E-01
   0.6716018     -0.2283372E-01
   0.6836500     -0.2205298E-01
   0.6956627     -0.2126964E-01
   0.7076332     -0.2048448E-01
   0.7195543     -0.1969831E-01
   0.7314187     -0.1891189E-01
   0.7432187     -0.1812595E-01
   0.7549467     -0.1734123E-01
   0.7665944     -0.1655845E-01
   0.7781532     -0.1577829E-01
   0.7896144     -0.1500147E-01
   0.8009688     -0.1422873E-01
   0.8122067     -0.1346074E-01
   0.8233181     -0.1269825E-01
   0.8342921     -0.1194199E-01
   0.8451178     -0.1119275E-01
   0.8557834     -0.1045138E-01
   0.8662763     -0.9718751E-02
   0.8765830     -0.8995790E-02
   0.8866896     -0.8283493E-02
   0.8965806     -0.7582965E-02
   0.9062395     -0.6895438E-02
   0.9156486     -0.6222266E-02
   0.9247882     -0.5564946E-02
   0.9336367     -0.4925144E-02
   0.9421703     -0.4304764E-02
   0.9503620     -0.3705991E-02
   0.9581810     -0.3131336E-02
   0.9655918     -0.2583745E-02
   0.9725524     -0.2066732E-02
   0.9790113     -0.1584489E-02
   0.9849041     -0.1142405E-02
   0.9901444     -0.7474568E-03
   0.9946079     -0.4097233E-03
   0.9980838     -0.1458151E-03
    1.000000       0.000000    
